Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DemoTestSuite,Chrome 67.0.3396.79,,2018-08-27 22:46:32,2018-08-27 22:47:03,30.729s,FAILED
,,,,,,
Test Cases/DemoTest1,Chrome 67.0.3396.79,,2018-08-27 22:46:32,2018-08-27 22:47:01,29.218s,FAILED
openBrowser,Chrome 67.0.3396.79,,2018-08-27 22:46:33,2018-08-27 22:46:43,10.450s,PASSED
navigateToUrl,Chrome 67.0.3396.79,,2018-08-27 22:46:43,2018-08-27 22:46:46,2.551s,PASSED
waitForPageLoad,Chrome 67.0.3396.79,,2018-08-27 22:46:46,2018-08-27 22:46:46,0.389s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 22:46:46,2018-08-27 22:46:48,2.016s,PASSED
verifyElementPresent,Chrome 67.0.3396.79,,2018-08-27 22:46:48,2018-08-27 22:46:48,0.102s,PASSED
setText,Chrome 67.0.3396.79,,2018-08-27 22:46:48,2018-08-27 22:46:49,0.751s,PASSED
setEncryptedText,Chrome 67.0.3396.79,,2018-08-27 22:46:49,2018-08-27 22:46:49,0.406s,PASSED
click,Chrome 67.0.3396.79,,2018-08-27 22:46:49,2018-08-27 22:46:50,0.254s,PASSED
waitForElementVisible,Chrome 67.0.3396.79,,2018-08-27 22:46:50,2018-08-27 22:47:01,11.896s,FAILED
